OG0001402	FBtr0078170
OG0001646	FBtr0077629
OG0001647	FBtr0077684
OG0001648	FBtr0077630
OG0001649	FBtr0077631
OG0001650	FBtr0332460
OG0001651	FBtr0077632
OG0001652	FBtr0077679
OG0001653	FBtr0290241
OG0001654	FBtr0077676
OG0001655	FBtr0077642
OG0001656	FBtr0077675
OG0001657	FBtr0305980
OG0001658	FBtr0077643
OG0001659	FBtr0077673
OG0001660	FBtr0273230
OG0001661	FBtr0077671
OG0001662	FBtr0077647
OG0001663	FBtr0077670
OG0001664	FBtr0077648
OG0001665	FBtr0077669
OG0001666	FBtr0077651
OG0001667	FBtr0300814
OG0001668	FBtr0077667
OG0001669	FBtr0077653
OG0001670	FBtr0077666
OG0001671	FBtr0077655
OG0001672	FBtr0077656
OG0001673	FBtr0077662
OG0001674	FBtr0077617
OG0001675	FBtr0332372
OG0001676	FBtr0077574
OG0001677	FBtr0077576
OG0001678	FBtr0077578
OG0001679	FBtr0112637
OG0001680	FBtr0301033
OG0001681	FBtr0077609
OG0001682	FBtr0077605
OG0001683	FBtr0077604
OG0001684	FBtr0077580
OG0001685	FBtr0114460
OG0001686	FBtr0077603
OG0001687	FBtr0077583
OG0001688	FBtr0077584
OG0001689	FBtr0089979
OG0001690	FBtr0077588
OG0001691	FBtr0306333
OG0001692	FBtr0332408
OG0001693	FBtr0077594
OG0001694	FBtr0077589
OG0001695	FBtr0300295
OG0001696	FBtr0112366
OG0001697	FBtr0077592
OG0001698	FBtr0077590
OG0001699	FBtr0077516
OG0001700	FBtr0077517
OG0001701	FBtr0113019
OG0001702	FBtr0077573
OG0001703	FBtr0077519
OG0001704	FBtr0077572
OG0001705	FBtr0077520
OG0001706	FBtr0077524
OG0001707	FBtr0077568
OG0001708	FBtr0445397
OG0001709	FBtr0077563
OG0001710	FBtr0077562
OG0001711	FBtr0077561
OG0001712	FBtr0333251
OG0001713	FBtr0089937
OG0001714	FBtr0301590
OG0001715	FBtr0077529
OG0001716	FBtr0344768
OG0001717	FBtr0077558
OG0001718	FBtr0077557
OG0001719	FBtr0077532
OG0001720	FBtr0089304
OG0001721	FBtr0302391
OG0001722	FBtr0077549
OG0001723	FBtr0077545
OG0001724	FBtr0077544
OG0001725	FBtr0077543
OG0001726	FBtr0077542
OG0001727	FBtr0077541
OG0001728	FBtr0077537
OG0001729	FBtr0273188
OG0001730	FBtr0077490
OG0001731	FBtr0307051
OG0001732	FBtr0077498
OG0001733	FBtr0077515
OG0001734	FBtr0077499
OG0001735	FBtr0077500
OG0001736	FBtr0077504
OG0001737	FBtr0077514
OG0001738	FBtr0077505
OG0001739	FBtr0077506
OG0001741	FBtr0077477
OG0001742	FBtr0077470
OG0001743	FBtr0077476
OG0001744	FBtr0347158
OG0001745	FBtr0077425
OG0001746	FBtr0077428
OG0001747	FBtr0077429
OG0001748	FBtr0077463
OG0001749	FBtr0077462
OG0001750	FBtr0331449
OG0001751	FBtr0077431
OG0001752	FBtr0077460
OG0001753	FBtr0290071
OG0001754	FBtr0077435
OG0001755	FBtr0077459
OG0001756	FBtr0112368
OG0001757	FBtr0304638
OG0001758	FBtr0077438
OG0001759	FBtr0077457
OG0001760	FBtr0077439
OG0001761	FBtr0077456
OG0001762	FBtr0077455
OG0001763	FBtr0077454
OG0001764	FBtr0077440
OG0001765	FBtr0077453
OG0001766	FBtr0077452
OG0001767	FBtr0077451
OG0001768	FBtr0077441
OG0001769	FBtr0077450
OG0001770	FBtr0077443
OG0001771	FBtr0077446
OG0001772	FBtr0077444
OG0001773	FBtr0077376
OG0001774	FBtr0077423
OG0001775	FBtr0077378
OG0001776	FBtr0077422
OG0001777	FBtr0077420
OG0001778	FBtr0329978
OG0001779	FBtr0077419
OG0001780	FBtr0077418
OG0001781	FBtr0077381
OG0001782	FBtr0077417
OG0001783	FBtr0077383
OG0001784	FBtr0077416
OG0001785	FBtr0077384
OG0001786	FBtr0077415
OG0001787	FBtr0077412
OG0001788	FBtr0300941
OG0001789	FBtr0077386
OG0001790	FBtr0077408
OG0001791	FBtr0077387
OG0001792	FBtr0304909
OG0001793	FBtr0472669
OG0001794	FBtr0077389
OG0001795	FBtr0077390
OG0001796	FBtr0077391
OG0001797	FBtr0077401
OG0001798	FBtr0077396
OG0001799	FBtr0077394
OG0001800	FBtr0078990
OG0001801	FBtr0079058
OG0001802	FBtr0078991
OG0001803	FBtr0079057
OG0001804	FBtr0110838
OG0001805	FBtr0110839
OG0001806	FBtr0079053
OG0001807	FBtr0079052
OG0001808	FBtr0078994
OG0001809	FBtr0079051
OG0001810	FBtr0078995
OG0001811	FBtr0078996
OG0001812	FBtr0079049
OG0001813	FBtr0078997
OG0001814	FBtr0079048
OG0001815	FBtr0079045
OG0001816	FBtr0329975
OG0001817	FBtr0301538
OG0001818	FBtr0301130
OG0001819	FBtr0079000
OG0001820	FBtr0110983
OG0001821	FBtr0079004
OG0001822	FBtr0079033
OG0001823	FBtr0100048
OG0001824	FBtr0334119
OG0001825	FBtr0334124
OG0001826	FBtr0079032
OG0001827	FBtr0079030
OG0001828	FBtr0079009
OG0001829	FBtr0079029
OG0001830	FBtr0079028
OG0001831	FBtr0079027
OG0001832	FBtr0079012
OG0001833	FBtr0079016
OG0001834	FBtr0079026
OG0001835	FBtr0079018
OG0001836	FBtr0329983
OG0001837	FBtr0079025
OG0001838	FBtr0079092
OG0001839	FBtr0110802
OG0001840	FBtr0079063
OG0001841	FBtr0079087
OG0001842	FBtr0310625
OG0001843	FBtr0079069
OG0001844	FBtr0079071
OG0001845	FBtr0079082
OG0001846	FBtr0079072
OG0001847	FBtr0079080
OG0001848	FBtr0079073
OG0001849	FBtr0079078
OG0001850	FBtr0079077
OG0001851	FBtr0347409
OG0001852	FBtr0329966
OG0001853	FBtr0079130
OG0001854	FBtr0079095
OG0001855	FBtr0079129
OG0001856	FBtr0079096
OG0001857	FBtr0079097
OG0001858	FBtr0079099
OG0001859	FBtr0079128
OG0001860	FBtr0079126
OG0001861	FBtr0079123
OG0001862	FBtr0079100
OG0001863	FBtr0079101
OG0001864	FBtr0114511
OG0001865	FBtr0079103
OG0001866	FBtr0079121
OG0001867	FBtr0079104
OG0001868	FBtr0079106
OG0001869	FBtr0089577
OG0001870	FBtr0079118
OG0001871	FBtr0079117
OG0001872	FBtr0079109
OG0001873	FBtr0302933
OG0001874	FBtr0079114
OG0001877	FBtr0112619
OG0001878	FBtr0079158
OG0001879	FBtr0079156
OG0001880	FBtr0079154
OG0001881	FBtr0079153
OG0001882	FBtr0079151
OG0001883	FBtr0079146
OG0001884	FBtr0333231
OG0001885	FBtr0079150
OG0001886	FBtr0079241
OG0001887	FBtr0079171
OG0001888	FBtr0079239
OG0001889	FBtr0079238
OG0001890	FBtr0079237
OG0001891	FBtr0079172
OG0001892	FBtr0079173
OG0001893	FBtr0079233
OG0001894	FBtr0079179
OG0001895	FBtr0079231
OG0001896	FBtr0113024
OG0001897	FBtr0079228
OG0001898	FBtr0079227
OG0001899	FBtr0079181
OG0001900	FBtr0079225
OG0001901	FBtr0343131
OG0001902	FBtr0079223
OG0001903	FBtr0079182
OG0001904	FBtr0079219
OG0001905	FBtr0079217
OG0001906	FBtr0344625
OG0001907	FBtr0079183
OG0001908	FBtr0079185
OG0001909	FBtr0079187
OG0001910	FBtr0079188
OG0001911	FBtr0079215
OG0001912	FBtr0079189
OG0001913	FBtr0302213
OG0001914	FBtr0079191
OG0001915	FBtr0079213
OG0001916	FBtr0079192
OG0001917	FBtr0344438
OG0001918	FBtr0079211
OG0001919	FBtr0079199
OG0001920	FBtr0304908
OG0001921	FBtr0079200
OG0001922	FBtr0346267
OG0001923	FBtr0303079
OG0001924	FBtr0303078
OG0001925	FBtr0079204
OG0001926	FBtr0079243
OG0001927	FBtr0079285
OG0001930	FBtr0079271
OG0001931	FBtr0079270
OG0001932	FBtr0079268
OG0001933	FBtr0079267
OG0001934	FBtr0079266
OG0001935	FBtr0079260
OG0001936	FBtr0079265
OG0001937	FBtr0079261
OG0001938	FBtr0079264
OG0001939	FBtr0079262
OG0001940	FBtr0079263
OG0001941	FBtr0079286
OG0001942	FBtr0079287
OG0001943	FBtr0079335
OG0001944	FBtr0079333
OG0001945	FBtr0079288
OG0001946	FBtr0079289
OG0001947	FBtr0079332
OG0001948	FBtr0079290
OG0001949	FBtr0079330
OG0001950	FBtr0343159
OG0001951	FBtr0079291
OG0001952	FBtr0113026
OG0001953	FBtr0112553
OG0001954	FBtr0079327
OG0001955	FBtr0331187
OG0001956	FBtr0079295
OG0001957	FBtr0079297
OG0001958	FBtr0079323
OG0001959	FBtr0290322
OG0001960	FBtr0079322
OG0001961	FBtr0079321
OG0001962	FBtr0347411
OG0001963	FBtr0079320
OG0001964	FBtr0273247
OG0001965	FBtr0079312
OG0001966	FBtr0079310
OG0001967	FBtr0079299
OG0001968	FBtr0329893
OG0001969	FBtr0329943
OG0001970	FBtr0300056
OG0001971	FBtr0079305
OG0001972	FBtr0079303
OG0001973	FBtr0339238
OG0001974	FBtr0331216
OG0001975	FBtr0079336
OG0001976	FBtr0079384
OG0001977	FBtr0079381
OG0001978	FBtr0079339
OG0001979	FBtr0300821
OG0001980	FBtr0079341
OG0001981	FBtr0079342
OG0001982	FBtr0079343
OG0001983	FBtr0079374
OG0001984	FBtr0079344
OG0001985	FBtr0079372
OG0001986	FBtr0079345
OG0001987	FBtr0079371
OG0001988	FBtr0079368
OG0001989	FBtr0079369
OG0001990	FBtr0079346
OG0001991	FBtr0332327
OG0001992	FBtr0079366
OG0001993	FBtr0079365
OG0001994	FBtr0079364
OG0001995	FBtr0079349
OG0001996	FBtr0079363
OG0001997	FBtr0079350
OG0001998	FBtr0079362
OG0001999	FBtr0079351
OG0002000	FBtr0079358
OG0002001	FBtr0079352
OG0002002	FBtr0079356
OG0002003	FBtr0079355
OG0002004	FBtr0302162
OG0002005	FBtr0306926
OG0002006	FBtr0079431
OG0002007	FBtr0079388
OG0002008	FBtr0079429
OG0002009	FBtr0306231
OG0002011	FBtr0079455
OG0002012	FBtr0334849
OG0002013	FBtr0079470
OG0002014	FBtr0079472
OG0002015	FBtr0330706
OG0002016	FBtr0079477
OG0002017	FBtr0079478
OG0002018	FBtr0079500
OG0002020	FBtr0300185
OG0002021	FBtr0114550
OG0002022	FBtr0079551
OG0002023	FBtr0079532
OG0002024	FBtr0079550
OG0002025	FBtr0079549
OG0002026	FBtr0079533
OG0002027	FBtr0079535
OG0002028	FBtr0306000
OG0002029	FBtr0079540
OG0002030	FBtr0079546
OG0002031	FBtr0344788
OG0002032	FBtr0079545
OG0002033	FBtr0329946
OG0002034	FBtr0079542
OG0002035	FBtr0079543
OG0002036	FBtr0079574
OG0002037	FBtr0301229
OG0002038	FBtr0079642
OG0002039	FBtr0079641
OG0002040	FBtr0308299
OG0002041	FBtr0079581
OG0002042	FBtr0079640
OG0002043	FBtr0335186
OG0002044	FBtr0079586
OG0002045	FBtr0079588
OG0002046	FBtr0079589
OG0002047	FBtr0079635
OG0002048	FBtr0079634
OG0002049	FBtr0089935
OG0002050	FBtr0079593
OG0002051	FBtr0079594
OG0002052	FBtr0079632
OG0002053	FBtr0306170
OG0002054	FBtr0302148
OG0002055	FBtr0079595
OG0002056	FBtr0304640
OG0002057	FBtr0079616
OG0002058	FBtr0079614
OG0002059	FBtr0329935
OG0002060	FBtr0079598
OG0002061	FBtr0079613
OG0002062	FBtr0079599
OG0002063	FBtr0079612
OG0002064	FBtr0079600
OG0002065	FBtr0301170
OG0002066	FBtr0079601
OG0002067	FBtr0079609
OG0002068	FBtr0079602
OG0002069	FBtr0079604
OG0002070	FBtr0079605
OG0002071	FBtr0079606
OG0002072	FBtr0079607
OG0002073	FBtr0079724
OG0002074	FBtr0079646
OG0002075	FBtr0306102
OG0002076	FBtr0079648
OG0002077	FBtr0079650
OG0002078	FBtr0079723
OG0002079	FBtr0079651
OG0002080	FBtr0079721
OG0002081	FBtr0079720
OG0002082	FBtr0079652
OG0002083	FBtr0079719
OG0002084	FBtr0079655
OG0002085	FBtr0303799
OG0002086	FBtr0079714
OG0002087	FBtr0079713
OG0002088	FBtr0079712
OG0002089	FBtr0079663
OG0002090	FBtr0079711
OG0002091	FBtr0079667
OG0002092	FBtr0079708
OG0002093	FBtr0079707
OG0002094	FBtr0100268
OG0002095	FBtr0100473
OG0002096	FBtr0079673
OG0002097	FBtr0089673
OG0002098	FBtr0079703
OG0002099	FBtr0079674
OG0002100	FBtr0079681
OG0002101	FBtr0308708
OG0002102	FBtr0079700
OG0002103	FBtr0079701
OG0002104	FBtr0079698
OG0002105	FBtr0079697
OG0002106	FBtr0079682
OG0002107	FBtr0079696
OG0002108	FBtr0079683
OG0002109	FBtr0112744
OG0002110	FBtr0079695
OG0002111	FBtr0329930
OG0002112	FBtr0079727
OG0002113	FBtr0079753
OG0002114	FBtr0079751
OG0002115	FBtr0079750
OG0002116	FBtr0079730
OG0002117	FBtr0079748
OG0002118	FBtr0079746
OG0002119	FBtr0079732
OG0002120	FBtr0330210
OG0002121	FBtr0079734
OG0002122	FBtr0079735
OG0002123	FBtr0079736
OG0002124	FBtr0079738
OG0002125	FBtr0079754
OG0002126	FBtr0079755
OG0002127	FBtr0100481
OG0002128	FBtr0079760
OG0002129	FBtr0079782
OG0002130	FBtr0079780
OG0002131	FBtr0079763
OG0002132	FBtr0301665
OG0002133	FBtr0079765
OG0002134	FBtr0079778
OG0002135	FBtr0299873
OG0002136	FBtr0079770
OG0002137	FBtr0301040
OG0002138	FBtr0079773
OG0002139	FBtr0330220
OG0002140	FBtr0304974
OG0002141	FBtr0079818
OG0002142	FBtr0079807
OG0002143	FBtr0079808
OG0002144	FBtr0079811
OG0002145	FBtr0079809
OG0002146	FBtr0079810
OG0002147	FBtr0079822
OG0002148	FBtr0079862
OG0002149	FBtr0089853
OG0002150	FBtr0079825
OG0002151	FBtr0079830
OG0002152	FBtr0079831
OG0002153	FBtr0273329
OG0002155	FBtr0079834
OG0002156	FBtr0079858
OG0002157	FBtr0079855
OG0002158	FBtr0079836
OG0002159	FBtr0114535
OG0002160	FBtr0079837
OG0002161	FBtr0079839
OG0002162	FBtr0302199
OG0002163	FBtr0300213
OG0002164	FBtr0079851
OG0002165	FBtr0079846
OG0002166	FBtr0079848
OG0002167	FBtr0303908
OG0002168	FBtr0079863
OG0002169	FBtr0079864
OG0002170	FBtr0079865
OG0002171	FBtr0079924
OG0002172	FBtr0079866
OG0002173	FBtr0335505
OG0002174	FBtr0079867
OG0002175	FBtr0079868
OG0002176	FBtr0100832
OG0002177	FBtr0079870
OG0002178	FBtr0079917
OG0002179	FBtr0079872
OG0002180	FBtr0113031
OG0002181	FBtr0079911
OG0002182	FBtr0079874
OG0002183	FBtr0079905
OG0002184	FBtr0079902
OG0002185	FBtr0079901
OG0002186	FBtr0079875
OG0002187	FBtr0079876
OG0002188	FBtr0079900
OG0002189	FBtr0079879
OG0002190	FBtr0299965
OG0002191	FBtr0331634
OG0002192	FBtr0079897
OG0002193	FBtr0079895
OG0002194	FBtr0079883
OG0002195	FBtr0079894
OG0002196	FBtr0079892
OG0002197	FBtr0079884
OG0002198	FBtr0079891
OG0002199	FBtr0079885
OG0002200	FBtr0329986
OG0002201	FBtr0079889
OG0002202	FBtr0079888
OG0002203	FBtr0329984
OG0002204	FBtr0079973
OG0002205	FBtr0303882
OG0002206	FBtr0303902
OG0002207	FBtr0079932
OG0002208	FBtr0079971
OG0002209	FBtr0079934
OG0002210	FBtr0079936
OG0002211	FBtr0079938
OG0002212	FBtr0079969
OG0002213	FBtr0079943
OG0002214	FBtr0301684
OG0002215	FBtr0079962
OG0002216	FBtr0079946
OG0002217	FBtr0112350
OG0002218	FBtr0079960
OG0002219	FBtr0079958
OG0002220	FBtr0079947
OG0002221	FBtr0079957
OG0002222	FBtr0079948
OG0002223	FBtr0079949
OG0002224	FBtr0079955
OG0002225	FBtr0079952
OG0002226	FBtr0079975
OG0002227	FBtr0080088
OG0002228	FBtr0080086
OG0002229	FBtr0089900
OG0002230	FBtr0080079
OG0002231	FBtr0079986
OG0002232	FBtr0080078
OG0002233	FBtr0080074
OG0002234	FBtr0079987
OG0002235	FBtr0080061
OG0002236	FBtr0079988
OG0002237	FBtr0080060
OG0002238	FBtr0079989
OG0002239	FBtr0080059
OG0002240	FBtr0079994
OG0002241	FBtr0112592
OG0002242	FBtr0080000
OG0002243	FBtr0080054
OG0002244	FBtr0080002
OG0002245	FBtr0080003
OG0002246	FBtr0089855
OG0002247	FBtr0080052
OG0002249	FBtr0080006
OG0002250	FBtr0080051
OG0002251	FBtr0080007
OG0002252	FBtr0474232
OG0002253	FBtr0080050
OG0002254	FBtr0331638
OG0002255	FBtr0100253
OG0002256	FBtr0080017
OG0002257	FBtr0080018
OG0002258	FBtr0080046
OG0002259	FBtr0304118
OG0002260	FBtr0080021
OG0002261	FBtr0080024
OG0002262	FBtr0080044
OG0002263	FBtr0080025
OG0002264	FBtr0080043
OG0002265	FBtr0080026
OG0002266	FBtr0080029
OG0002267	FBtr0080038
OG0002268	FBtr0100565
OG0002269	FBtr0080037
OG0002270	FBtr0080035
OG0002271	FBtr0080091
OG0002272	FBtr0080135
OG0002273	FBtr0080092
OG0002274	FBtr0304114
OG0002275	FBtr0080098
OG0002276	FBtr0112352
OG0002277	FBtr0080131
OG0002278	FBtr0080103
OG0002279	FBtr0080104
OG0002280	FBtr0080105
OG0002281	FBtr0080125
OG0002282	FBtr0080124
OG0002283	FBtr0080123
OG0002284	FBtr0080108
OG0002285	FBtr0303568
OG0002286	FBtr0080110
OG0002287	FBtr0080111
OG0002288	FBtr0080122
OG0002289	FBtr0080112
OG0002290	FBtr0080121
OG0002291	FBtr0080120
OG0002292	FBtr0080113
OG0002293	FBtr0080119
OG0002294	FBtr0080117
OG0002295	FBtr0080114
OG0002296	FBtr0080191
OG0002297	FBtr0080136
OG0002298	FBtr0080189
OG0002299	FBtr0080137
OG0002300	FBtr0080188
OG0002301	FBtr0080187
OG0002302	FBtr0080184
OG0002303	FBtr0080182
OG0002304	FBtr0305258
OG0002305	FBtr0080181
OG0002306	FBtr0080180
OG0002307	FBtr0080143
OG0002308	FBtr0080144
OG0002309	FBtr0080178
OG0002310	FBtr0080177
OG0002311	FBtr0301184
OG0002312	FBtr0080175
OG0002313	FBtr0340553
OG0002314	FBtr0080145
OG0002315	FBtr0080169
OG0002316	FBtr0080146
OG0002317	FBtr0329948
OG0002318	FBtr0080168
OG0002319	FBtr0080167
OG0002320	FBtr0329949
OG0002321	FBtr0089881
OG0002322	FBtr0080162
OG0002323	FBtr0080157
OG0002324	FBtr0080161
OG0002325	FBtr0080158
OG0002326	FBtr0113035
OG0002327	FBtr0080193
OG0002328	FBtr0304586
OG0002329	FBtr0080196
OG0002330	FBtr0080231
OG0002331	FBtr0080230
OG0002332	FBtr0306138
OG0002333	FBtr0080229
OG0002334	FBtr0080198
OG0002335	FBtr0080228
OG0002336	FBtr0080227
OG0002337	FBtr0080199
OG0002338	FBtr0080225
OG0002339	FBtr0080200
OG0002340	FBtr0080201
OG0002341	FBtr0112856
OG0002342	FBtr0080222
OG0002343	FBtr0310279
OG0002344	FBtr0080216
OG0002345	FBtr0080202
OG0002346	FBtr0332558
OG0002347	FBtr0091682
OG0002348	FBtr0080212
OG0002349	FBtr0080213
OG0002350	FBtr0080214
OG0002351	FBtr0080251
OG0002352	FBtr0089913
OG0002353	FBtr0080248
OG0002354	FBtr0305261
OG0002355	FBtr0080239
OG0002356	FBtr0080245
OG0002357	FBtr0340563
OG0002358	FBtr0080252
OG0002359	FBtr0080267
OG0002360	FBtr0080266
OG0002361	FBtr0080253
OG0002362	FBtr0080265
OG0002363	FBtr0080261
OG0002364	FBtr0080259
OG0002365	FBtr0334143
OG0002366	FBtr0080274
OG0002369	FBtr0080291
OG0002370	FBtr0080312
OG0002371	FBtr0080308
OG0002372	FBtr0080306
OG0002373	FBtr0080305
OG0002374	FBtr0080294
OG0002375	FBtr0080296
OG0002376	FBtr0080301
OG0002377	FBtr0302029
OG0002378	FBtr0080297
OG0002379	FBtr0080298
OG0002380	FBtr0080326
OG0002381	FBtr0080364
OG0002382	FBtr0080330
OG0002383	FBtr0474166
OG0002384	FBtr0080332
OG0002385	FBtr0080361
OG0002386	FBtr0080336
OG0002387	FBtr0080360
OG0002388	FBtr0080337
OG0002389	FBtr0080344
OG0002390	FBtr0080350
OG0002391	FBtr0304856
OG0002392	FBtr0080354
OG0002393	FBtr0080365
OG0002394	FBtr0080388
OG0002395	FBtr0080367
OG0002396	FBtr0080387
OG0002397	FBtr0089899
OG0002398	FBtr0080369
OG0002399	FBtr0080384
OG0002400	FBtr0080383
OG0002401	FBtr0080370
OG0002402	FBtr0080381
OG0002404	FBtr0090013
OG0002405	FBtr0080402
OG0002406	FBtr0332210
OG0002407	FBtr0080496
OG0002408	FBtr0080480
OG0002409	FBtr0303784
OG0002410	FBtr0334862
OG0002411	FBtr0080478
OG0002412	FBtr0080460
OG0002413	FBtr0080461
OG0002414	FBtr0331503
