FBtr	OG_ID	transcript_ID	gene_ID
FBtr0070174	OG0009278	CG33082-RA	Rpp21
FBtr0070175	OG0009279	CG14630-RA	CG14630
FBtr0070176	OG0009280	CG3019-RA	su(w[a])
FBtr0070179	OG0009282	CG14629-RA	CG14629
FBtr0070182	OG0009277	CG3658-RA	Cdc45
FBtr0070183	OG0009275	CG11638-RA	CG11638
FBtr0070184	OG0009273	CG11639-RA	TfIIA-S-2
FBtr0070185	OG0009272	CG3690-RA	CG3690
FBtr0070187	OG0009271	CG3703-RA	CG3703
FBtr0070188	OG0009269	CG3704-RA	CG3704
FBtr0070189	OG0009267	CG3706-RA	CG3706
FBtr0070195	OG0009260	CG3713-RA	CG3713
FBtr0070197	OG0009284	CG11378-RA	CG11378
FBtr0070198	OG0009286	CG11379-RA	CG11379
FBtr0070199	OG0009287	CG14627-RA	CG14627
FBtr0070200	OG0009288	CG14626-RA	CG14626
FBtr0070201	OG0009289	CG11380-RA	CG11380
FBtr0070202	OG0009290	CG14625-RB	CG14625
FBtr0070203	OG0009291	CG11381-RA	CG11381
FBtr0070204	OG0009292	CG14624-RA	CG14624
FBtr0070205	OG0009293	CG11382-RB	CG11382
FBtr0070206	OG0009298	CG32812-RA	CG32812
FBtr0070207	OG0009300	CG11411-RA	fs(1)N
FBtr0070209	OG0009302	CG11412-RA	Naa30A
FBtr0070211	OG0009304	CG11415-RA	Tsp2A
FBtr0070212	OG0009306	CG11417-RA	CG11417
FBtr0070213	OG0009308	CG14770-RA	CG14770
FBtr0070216	OG0009309	CG3051-RA	AMPKalpha
FBtr0070230	OG0009316	CG14786-RA	Lrpprc2
FBtr0070231	OG0009315	CG14785-RA	CG14785
FBtr0070233	OG0009310	CG3719-RA	CG3719
FBtr0070234	OG0009307	CG11420-RA	png
FBtr0070235	OG0009305	CG12773-RA	CG12773
FBtr0070236	OG0009303	CG11418-RA	MTPAP
FBtr0070238	OG0009301	CG11409-RB	CG11409
FBtr0070245	OG0009296	CG11403-RA	CG11403
FBtr0070250	OG0009294	CG11398-RA	CG11398
FBtr0070251	OG0009285	CG11384-RA	CG11384
FBtr0070253	OG0009320	CG14777-RB	CG14777
FBtr0070254	OG0009322	CG14778-RA	CG14778
FBtr0070255	OG0009323	CG14779-RA	pck
FBtr0070257	OG0009324	CG14780-RA	CG14780
FBtr0070259	OG0009327	CG14782-RA	rush
FBtr0070260	OG0009331	CG32810-RB	inc
FBtr0070269	OG0009334	CG3093-RA	dor
FBtr0070270	OG0009336	CG3095-RA	hfw
FBtr0070272	OG0009339	CG3100-RA	b6
FBtr0070277	OG0009341	CG14808-RA	Scgdelta
FBtr0070279	OG0009340	CG3771-RA	a6
FBtr0070283	OG0009335	CG3740-RA	CG3740
FBtr0070284	OG0009332	CG14796-RA	Mur2B
FBtr0070285	OG0009330	CG14795-RB	CG14795
FBtr0070288	OG0009329	CG33513-RC	Nmdar2
FBtr0070289	OG0009328	CG14792-RA	sta
FBtr0070293	OG0009325	CG14791-RB	Rab27
FBtr0070295	OG0009321	CG32808-RA	CG32808
FBtr0070296	OG0009319	CG14789-RA	Ofut2
FBtr0070297	OG0009318	CG14788-RA	Ns3
FBtr0070298	OG0009317	CG14787-RA	CG14787
FBtr0070308	OG0009347	CG14802-RA	MED18
FBtr0070310	OG0009349	CG14803-RA	CG14803
FBtr0070311	OG0009351	CG14804-RA	Vps26
FBtr0070313	OG0009353	CG14806-RA	Coa8
FBtr0070314	OG0009355	CG3109-RA	mRpL16
FBtr0070315	OG0009360	CG3480-RA	mip130
FBtr0070316	OG0009361	CG17766-RA	Rbcn-3B
FBtr0070317	OG0009363	CG3573-RA	Ocrl
FBtr0070318	OG0009364	CG11596-RC	unmet
FBtr0070321	OG0009366	CG3587-RA	CG3587
FBtr0070328	OG0009376	CG4194-RA	CG4194
FBtr0070330	OG0009377	CG4061-RA	Rtca
FBtr0070331	OG0009378	CG4045-RA	Mettl1
FBtr0070338	OG0009375	CG14054-RA	CG14054
FBtr0070339	OG0009374	CG4281-RA	CG4281
FBtr0070340	OG0009373	CG4290-RA	Sik2
FBtr0070341	OG0009371	CG4322-RA	moody
FBtr0070342	OG0009370	CG4325-RA	CG4325
FBtr0070346	OG0009369	CG4380-RA	usp
FBtr0070347	OG0009367	CG4406-RA	PIG-K
FBtr0070349	OG0009365	CG3857-RA	CG3857
FBtr0070350	OG0009362	CG3806-RA	eIF2Bepsilon
FBtr0070355	OG0009358	CG32801-RA	CG32801
FBtr0070363	OG0009354	CG3848-RD	trr
FBtr0070364	OG0009352	CG14818-RA	CG14818
FBtr0070366	OG0009350	CG14816-RA	Pgam5
FBtr0070367	OG0009348	CG14815-RA	Pex5
FBtr0070369	OG0009346	CG14814-RB	Gcna
FBtr0070371	OG0009345	CG14813-RA	deltaCOP
FBtr0070372	OG0009344	CG14812-RA	Lamtor5
FBtr0070376	OG0009380	CG3981-RB	Unc-76
FBtr0070379	OG0009381	CG3954-RB	csw
FBtr0070381	OG0009382	CG3835-RB	D2hgdh
FBtr0070384	OG0009383	CG3724-RA	Pgd
FBtr0070385	OG0009386	CG3630-RA	CG3630
FBtr0070386	OG0009387	CG3621-RA	ND-B14.5A
FBtr0070388	OG0009388	CG10755-RA	Cyp4ae1
FBtr0070389	OG0009389	CG3461-RA	pn
FBtr0070390	OG0009391	CG17776-RA	CG17776
FBtr0070392	OG0009393	CG3457-RA	CG3457
FBtr0070393	OG0009395	CG3456-RA	Mct1
FBtr0070396	OG0009402	CG3218-RA	fs(1)K10
FBtr0070397	OG0009403	CG3206-RA	Or2a
FBtr0070399	OG0009412	CG2854-RA	CG2854
FBtr0070401	OG0009414	CG2845-RA	Raf
FBtr0070405	OG0009415	CG14048-RA	mRpL14
FBtr0070406	OG0009413	CG14049-RA	Ilp6
FBtr0070407	OG0009411	CG14050-RA	CG14050
FBtr0070408	OG0009410	CG2865-RA	CG2865
FBtr0070414	OG0009408	CG3073-RA	temp
FBtr0070416	OG0009406	CG3091-RA	CG3091
FBtr0070417	OG0009405	CG3191-RA	CG3191
FBtr0070418	OG0009404	CG3193-RA	crn
FBtr0070419	OG0009401	CG3228-RA	kz
FBtr0070420	OG0009398	CG3299-RA	Vinc
FBtr0070422	OG0009397	CG33548-RA	SmydA-8
FBtr0070423	OG0009396	CG18031-RA	FarO
FBtr0070424	OG0009394	CG14053-RA	CG14053
FBtr0070425	OG0009390	CG3460-RA	Nmd3
FBtr0070428	OG0009385	CG3656-RA	Cyp4d1
FBtr0070429	OG0009384	CG3707-RA	wapl
FBtr0070434	OG0009379	CG16903-RA	CG16903
FBtr0070437	OG0009425	CG13759-RA	AANATL7
FBtr0070438	OG0009427	CG17437-RA	wds
FBtr0070439	OG0009428	CG9659-RC	egh
FBtr0070441	OG0009430	CG9900-RB	Zw10
FBtr0070442	OG0009432	CG9904-RA	Seipin
FBtr0070447	OG0009431	CG13761-RB	Smyd3
FBtr0070448	OG0009429	CG8590-RA	Klp3A
FBtr0070460	OG0009419	CG7952-RB	gt
FBtr0070462	OG0009418	CG12496-RA	CG12496
FBtr0070477	OG0009437	CG2647-RA	per
FBtr0070478	OG0009440	CG2662-RA	Lint-O
FBtr0070479	OG0009442	CG2677-RA	eIF2Bbeta
FBtr0070480	OG0009444	CG2681-RA	CG2681
FBtr0070484	OG0009447	CG2706-RA	fs(1)Yb
FBtr0070485	OG0009448	CG2707-RA	fs(1)Ya
FBtr0070486	OG0009449	CG2709-RA	vilya
FBtr0070487	OG0009450	CG2711-RA	dwg
FBtr0070488	OG0009451	CG2712-RA	CG2712
FBtr0070489	OG0009454	CG12498-RA	Rtf1L
FBtr0070491	OG0009453	CG32795-RA	CG32795
FBtr0070495	OG0009452	CG2714-RB	crm
FBtr0070498	OG0009446	CG2701-RA	CG2701
FBtr0070499	OG0009445	CG2685-RA	CG2685
FBtr0070502	OG0009439	CG2658-RA	Spg7
FBtr0070504	OG0009438	CG2650-RA	dyw
FBtr0070505	OG0009436	CG2652-RA	CG2652
FBtr0070506	OG0009435	CG2655-RA	HLH3B
FBtr0070507	OG0009470	CG3936-RA	N
FBtr0070508	OG0009472	CG3939-RA	CG3939
FBtr0070509	OG0009473	CG32498-RB	Pde4
FBtr0070525	OG0009475	CG10798-RA	Myc
FBtr0070526	OG0009478	CG10801-RA	CG10801
FBtr0070527	OG0009480	CG12206-RA	CG12206
FBtr0070531	OG0009477	CG16782-RA	CG16782
FBtr0070532	OG0009476	CG14269-RA	CG14269
FBtr0070536	OG0009474	CG10793-RA	CG10793
FBtr0070542	OG0009471	CG4015-RA	Fcp3C
FBtr0070546	OG0009457	CG3526-RA	CG3526
FBtr0070550	OG0009460	CG32793-RA	CG32793
FBtr0070551	OG0009461	CG3592-RA	CG3592
FBtr0070552	OG0009462	CG3598-RA	CG3598
FBtr0070553	OG0009463	CG14420-RA	CG14420
FBtr0070554	OG0009464	CG14421-RA	CG14421
FBtr0070555	OG0009465	CG14422-RA	CG14422
FBtr0070556	OG0009466	CG14423-RA	CG14423
FBtr0070557	OG0009467	CG17959-RA	CG17959
FBtr0070558	OG0009468	CG3603-RA	CG3603
FBtr0070561	OG0009469	CG4116-RA	CG4116
FBtr0070563	OG0009459	CG14424-RA	CG14424
FBtr0070565	OG0009456	CG14418-RA	CG14418
FBtr0070566	OG0009455	CG14417-RA	CG14417
FBtr0070568	OG0009482	CG10802-RA	CG10802
FBtr0070569	OG0009484	CG10803-RA	CG10803
FBtr0070570	OG0009486	CG13021-RA	CG13021
FBtr0070575	OG0009489	CG2872-RB	AstA-R1
FBtr0070577	OG0009490	CG13317-RA	Ilp7
FBtr0070583	OG0009493	CG2849-RA	Rala
FBtr0070586	OG0009488	CG2875-RA	CG2875
FBtr0070589	OG0009485	CG14271-RB	Gas8
FBtr0070590	OG0009483	CG14270-RA	Timm29
FBtr0070611	OG0009498	CG2934-RA	VhaAC39-1
FBtr0070612	OG0009499	CG15239-RA	CG15239
FBtr0070616	OG0009502	CG5014-RB	Vap33
FBtr0070624	OG0009504	CG6414-RA	CG6414
FBtr0070626	OG0009503	CG6450-RC	lva
FBtr0070627	OG0009501	CG2938-RB	CG2938
FBtr0070638	OG0009509	CG4934-RA	brn
FBtr0070639	OG0009510	CG4944-RA	cib
FBtr0070642	OG0009512	CG4865-RA	dgt4
FBtr0070643	OG0009514	CG4857-RB	tyf
FBtr0070644	OG0009515	CG32775-RA	GlcAT-I
FBtr0070645	OG0009517	CG15570-RA	CG15570
FBtr0070648	OG0009522	CG2982-RB	NO66
FBtr0070650	OG0009524	CG3620-RB	norpA
FBtr0070652	OG0009525	CG3626-RA	Pdpr
FBtr0070654	OG0009523	CG12693-RB	CG12693
FBtr0070657	OG0009521	CG15579-RA	CG15579
FBtr0070658	OG0009520	CG12692-RB	CG12692
FBtr0070661	OG0009519	CG15576-RB	CG15576
FBtr0070663	OG0009518	CG15573-RB	Femcoat
FBtr0070668	OG0009513	CG6121-RA	Tip60
FBtr0070669	OG0009511	CG6133-RA	Nsun2
FBtr0070670	OG0009508	CG6358-RA	Xpac
FBtr0070671	OG0009506	CG6379-RA	Cmtr1
FBtr0070674	OG0009527	CG3556-RA	CG3556
FBtr0070675	OG0009529	CG3564-RA	CHOp24
FBtr0070677	OG0009531	CG15912-RA	CG15912
FBtr0070678	OG0009533	CG3527-RA	CG3527
FBtr0070679	OG0009535	CG3546-RA	CG3546
FBtr0070680	OG0009537	CG12212-RA	peb
FBtr0070681	OG0009538	CG3346-RA	pon
FBtr0070682	OG0009542	CG7038-RA	mRpL30
FBtr0070683	OG0009544	CG7035-RA	Cbp80
FBtr0070685	OG0009546	CG2984-RA	Pp2C1
FBtr0070689	OG0009545	CG15473-RA	CG15473
FBtr0070690	OG0009543	CG3024-RA	Torsin
FBtr0070692	OG0009540	CG3062-RA	CG3062
FBtr0070693	OG0009539	CG3081-RA	CG3081
FBtr0070697	OG0009536	CG12684-RA	CG12684
FBtr0070698	OG0009534	CG11444-RA	CG11444
FBtr0070699	OG0009532	CG11436-RA	CG11436
FBtr0070701	OG0009530	CG17592-RB	Usf
FBtr0070702	OG0009528	CG11427-RA	rb
FBtr0070711	OG0009547	CG7010-RC	Pdha1
FBtr0070712	OG0009548	CG7024-RA	Pdha2
FBtr0070716	OG0009552	CG12682-RA	CG12682
FBtr0070723	OG0009556	CG6903-RA	Hgsnat
FBtr0070727	OG0009558		
FBtr0070731	OG0009551	CG2861-RA	CG2861
FBtr0070735	OG0009549	CG2932-RA	Klf15
FBtr0070741	OG0009561	CG6789-RA	Rpn13R
FBtr0070742	OG0009562	CG15465-RA	CG15465
FBtr0070748	OG0009568	CG4528-RA	snf
FBtr0070749	OG0009570	CG4193-RA	dhd
FBtr0070750	OG0009571	CG4198-RA	CG4198
FBtr0070752	OG0009572	CG3312-RA	Rnp4F
FBtr0070755	OG0009569	CG3315-RA	TrxT
FBtr0070756	OG0009567	CG3319-RA	Cdk7
FBtr0070757	OG0009566	CG17764-RA	CG17764
FBtr0070758	OG0009565	CG3323-RA	CG3323
FBtr0070759	OG0009563	CG5062-RA	CG5062
FBtr0070762	OG0009573	CG4206-RA	Mcm3
FBtr0070763	OG0009575	CG4208-RA	XRCC1
FBtr0070772	OG0009577	CG4165-RD	Usp16-45
FBtr0070776	OG0009578	CG16756-RA	CG16756
FBtr0070778	OG0009579	CG16752-RA	SPR
FBtr0070780	OG0009581	CG12730-RA	CG12730
FBtr0070781	OG0009583	CG4136-RA	Vsx1
FBtr0070782	OG0009588	CG32763-RA	Pop1
FBtr0070785	OG0009586	CG3208-RA	RhoGAP5A
FBtr0070795	OG0009576	CG3249-RC	spoon
FBtr0070798	OG0009574	CG3309-RA	CG3309
FBtr0070799	OG0009592	CG4119-RA	CG4119
FBtr0070800	OG0009594	CG4111-RB	RpL35
FBtr0070802	OG0009596	CG15779-RA	Gr5a
FBtr0070804	OG0009599	CG12410-RA	cv
FBtr0070807	OG0009605	CG4078-RA	Rtel1
FBtr0070808	OG0009606	CG15772-RA	CG15772
FBtr0070809	OG0009608	CG15771-RA	Nanp
FBtr0070813	OG0009614	CG15767-RA	CG15767
FBtr0070814	OG0009615	CG12239-RA	CG12239
FBtr0070816	OG0009616	CG18341-RA	Prosbeta2R1
FBtr0070817	OG0009618	CG15765-RA	CG15765
FBtr0070819	OG0009619	CG12729-RA	CG12729
FBtr0070820	OG0009620	CG15764-RA	CG15764
FBtr0070821	OG0009624	CG16721-RA	CG16721
FBtr0070824	OG0009625	CG4020-RA	CG4020
FBtr0070825	OG0009626	CG12236-RA	CG12236
FBtr0070827	OG0009627	CG3011-RA	Shmt
FBtr0070828	OG0009623	CG3016-RA	Usp30
FBtr0070829	OG0009622	CG3025-RA	mof
FBtr0070830	OG0009621	CG3033-RA	GAA1
FBtr0070832	OG0009617	CG15766-RA	AgmNAT
FBtr0070833	OG0009613	CG3108-RA	CG3108
FBtr0070836	OG0009611	CG3097-RA	CG3097
FBtr0070837	OG0009609	CG3086-RB	MAPk-Ak2
FBtr0070840	OG0009607	CG15929-RA	lin-52
FBtr0070841	OG0009604	CG3125-RA	IntS6
FBtr0070843	OG0009603	CG32758-RA	Snx27
FBtr0070844	OG0009602	CG33080-RA	CG33080
FBtr0070846	OG0009600	CG3149-RA	CG3149
FBtr0070847	OG0009598	CG3160-RA	PGAP1
FBtr0070849	OG0009593	CG3129-RA	Rab18
FBtr0070852	OG0009591	CG3187-RC	Sirt4
FBtr0070861	OG0009628	CG6041-RA	CG6041
FBtr0070862	OG0009629	CG32755-RA	CG32755
FBtr0070863	OG0009630	CG6048-RA	CG6048
FBtr0070864	OG0009631	CG6067-RA	CG6067
FBtr0070865	OG0009633	CG14447-RA	Grip
FBtr0070866	OG0009634	CG5966-RA	CG5966
FBtr0070867	OG0009636	CG5941-RA	MCTS1
FBtr0070872	OG0009643	CG5905-RB	Nep1
FBtr0070874	OG0009647	CG3774-RA	Efr
FBtr0070877	OG0009648	CG3595-RA	sqh
FBtr0070878	OG0009646	CG3599-RA	Btnd
FBtr0070881	OG0009645	CG32750-RA	CG32750
FBtr0070886	OG0009641	CG4660-RA	CG4660
FBtr0070889	OG0009635	CG4336-RA	rux
FBtr0070892	OG0009632	CG4790-RA	fs(1)M3
FBtr0070894	OG0009652	CG3780-RA	Spx
FBtr0070895	OG0009654	CG3781-RA	Josd
FBtr0070896	OG0009655	CG12225-RA	Spt6
FBtr0070897	OG0009658	CG15897-RA	wuho
FBtr0070898	OG0009659	CG15896-RA	mldr
FBtr0070899	OG0009662	CG3815-RA	CG3815
FBtr0070900	OG0009664	CG3823-RA	CG3823
FBtr0070903	OG0009667	CG3842-RA	CG3842
FBtr0070912	OG0009672	CG3918-RA	CG3918
FBtr0070913	OG0009674	CG3926-RA	Agxt
FBtr0070914	OG0009676	CG3929-RA	dx
FBtr0070915	OG0009675	CG3314-RA	RpL7A
FBtr0070918	OG0009673	CG3342-RA	CG3342
FBtr0070921	OG0009671	CG12217-RA	PpV
FBtr0070922	OG0009669	CG3429-RA	swa
FBtr0070924	OG0009668	CG3446-RA	ND-B16.6
FBtr0070925	OG0009663	CG12219-RA	CG12219
FBtr0070926	OG0009660	CG15892-RA	CG15892
FBtr0070930	OG0009657	CG3458-RA	Top3beta
FBtr0070937	OG0009653	CG3576-RA	schlank
FBtr0070944	OG0009678	CG17717-RA	CG17717
FBtr0070945	OG0009679	CG10695-RA	Pat1
FBtr0070946	OG0009680	CG14444-RA	APC7
FBtr0070950	OG0009682	CG32742-RA	Cdc7
FBtr0070952	OG0009686	CG4039-RA	Mcm6
FBtr0070956	OG0009688	CG4523-RA	Pink1
FBtr0070959	OG0009692	CG14441-RA	CG14441
FBtr0070960	OG0009695	CG14439-RA	CG14439
FBtr0070961	OG0009696	CG14438-RA	sov
FBtr0070963	OG0009697	CG14437-RA	Coq7
FBtr0070969	OG0009700	CG4536-RA	iav
FBtr0070970	OG0009702	CG4542-RA	xit
FBtr0070972	OG0009703	CG32743-RA	nonC
FBtr0070973	OG0009704	CG12796-RA	mAChR-C
FBtr0070974	OG0009701	CG3075-RA	Nf-YC
FBtr0070980	OG0009694	CG3203-RB	RpL17
FBtr0070984	OG0009693	CG3168-RC	sv2
FBtr0070987	OG0009691	CG14440-RA	CG14440
FBtr0070988	OG0009690	CG14442-RA	CG14442
FBtr0070989	OG0009689	CG3184-RA	Dph7
FBtr0070990	OG0009687	CG3192-RA	ND-ASHI
FBtr0070991	OG0009685	CG3198-RA	CG3198
FBtr0070992	OG0009683	CG3224-RA	CG3224
FBtr0070993	OG0009681	CG3226-RA	CG3226
FBtr0070994	OG0009706	CG4557-RA	Tmf
FBtr0071003	OG0009712	CG4586-RA	CG4586
FBtr0071004	OG0009715	CG14430-RA	bou
FBtr0071005	OG0009717	CG4590-RA	Inx2
FBtr0071007	OG0009719	CG32736-RA	sloth1
FBtr0071009	OG0009721	CG4593-RA	CG4593
FBtr0071010	OG0009723	CG14427-RA	moat
FBtr0071013	OG0009725	CG4607-RA	CG4607
FBtr0071015	OG0009727	CG8300-RA	CG8300
FBtr0071017	OG0009728	CG4626-RB	fz4
FBtr0071020	OG0009726	CG4615-RA	CG4615
FBtr0071032	OG0009720	CG3032-RA	CG3032
FBtr0071033	OG0009718	CG3035-RA	cm
FBtr0071035	OG0009716	CG2977-RA	Inx7
FBtr0071036	OG0009714	CG3039-RA	ogre
FBtr0071038	OG0009713	CG3040-RA	CG3040
FBtr0071041	OG0009707	CG3044-RA	Cht11
FBtr0071042	OG0009705	CG14435-RA	detr
FBtr0071046	OG0009730	CG1958-RA	CG1958
FBtr0071047	OG0009732	CG2059-RA	CG2059
FBtr0071048	OG0009734	CG9653-RA	brk
FBtr0071049	OG0009736	CG2079-RA	Dok
FBtr0071051	OG0009737	CG18155-RB	Acsf3
FBtr0071054	OG0009741	CG1999-RA	CG1999
FBtr0071055	OG0009742	CG15033-RA	CheA7a
FBtr0071060	OG0009745	CG15036-RA	CG15036
FBtr0071063	OG0009743	CG15035-RA	CG15035
FBtr0071064	OG0009740	CG15034-RA	CG15034
FBtr0071065	OG0009735	CG1643-RA	Atg5
FBtr0071066	OG0009733	CG1659-RA	unc-119
FBtr0071067	OG0009748	CG11369-RA	CG11369
FBtr0071068	OG0009750	CG11387-RA	ct
FBtr0071070	OG0009753	CG12153-RA	Hira
FBtr0071071	OG0009755	CG12155-RA	CG12155
FBtr0071072	OG0009757	CG12156-RA	Rab39
FBtr0071076	OG0009756	CG12151-RA	Pdp
FBtr0071077	OG0009754	CG32721-RA	NELF-B
FBtr0071078	OG0009752	CG15478-RA	CG15478
FBtr0071079	OG0009751	CG12690-RA	CHES-1-like
FBtr0071081	OG0009749	CG12689-RA	CG12689
FBtr0071083	OG0009746	CG32719-RA	CG32719
FBtr0071087	OG0009763	CG15324-RA	Ir7c
FBtr0071088	OG0009766		
FBtr0071089	OG0009769	CG1422-RA	p115
FBtr0071090	OG0009770	CG1430-RA	bys
FBtr0071091	OG0009772	CG1444-RA	spidey
FBtr0071092	OG0009773	CG1514-RA	snz
FBtr0071093	OG0009775	CG1515-RA	Ykt6
FBtr0071099	OG0009778	CG15330-RA	CG15330
FBtr0071101	OG0009780	CG32858-RA	sn
FBtr0071105	OG0009784	CG1560-RA	mys
FBtr0071107	OG0009788	CG2259-RA	Gclc
FBtr0071112	OG0009787	CG2257-RA	UbcE2H
FBtr0071116	OG0009786	CG2254-RA	Ldsdh1
FBtr0071117	OG0009785	CG2253-RA	Upf2
FBtr0071123	OG0009782	CG2233-RA	CG2233
FBtr0071125	OG0009779	CG2212-RA	sws
FBtr0071131	OG0009776	CG10778-RA	Dhdds
FBtr0071133	OG0009774	CG15329-RA	hdm
FBtr0071134	OG0009771	CG10946-RA	dpr14
FBtr0071142	OG0009768	CG17256-RA	Nek2
FBtr0071143	OG0009767	CG10932-RA	Acat1
FBtr0071150	OG0009760	CG10920-RA	CG10920
FBtr0071151	OG0009789	CG1575-RA	CG1575
FBtr0071152	OG0009792	CG2116-RA	CG2116
FBtr0071153	OG0009793	CG10958-RA	CG10958
FBtr0071155	OG0009798	CG2129-RA	CG2129
FBtr0071157	OG0009800	CG10959-RA	CG10959
FBtr0071158	OG0009802	CG18262-RA	Imzf
FBtr0071160	OG0009805	CG15337-RA	CG15337
FBtr0071166	OG0009810	CG2147-RA	CG2147
FBtr0071170	OG0009813	CG1632-RA	CG1632
FBtr0071171	OG0009816	CG1636-RA	CG1636
FBtr0071173	OG0009817	CG1387-RA	CG1387
FBtr0071174	OG0009818	CG10555-RA	CG10555
FBtr0071175	OG0009819	CG11190-RA	PIG-T
FBtr0071178	OG0009815	CG15343-RA	CG15343
FBtr0071179	OG0009814	CG10965-RA	Corp
FBtr0071180	OG0009812	CG2286-RA	ND-75
FBtr0071183	OG0009811	CG10964-RA	sni
FBtr0071186	OG0009807	CG10759-RA	Or7a
FBtr0071187	OG0009806	CG10761-RA	CG10761
FBtr0071188	OG0009803	CG10961-RA	Traf6
FBtr0071189	OG0009801	CG10763-RA	Gbeta5
FBtr0071190	OG0009797	CG2263-RA	alpha-PheRS
FBtr0071191	OG0009796	CG17982-RA	CG17982
FBtr0071192	OG0009795	CG2262-RA	Smox
FBtr0071193	OG0009791	CG15335-RB	cyr
FBtr0071194	OG0009790	CG2260-RA	CG2260
FBtr0071198	OG0009826	CG1474-RA	Es2
FBtr0071201	OG0009829	CG15350-RA	Cp7Fb
FBtr0071202	OG0009830	CG15351-RA	Cp7Fc
FBtr0071203	OG0009831	CG1478-RA	Cp36
FBtr0071204	OG0009832	CG11213-RA	Cp38
FBtr0071212	OG0009839	CG11265-RC	Trf4-1
FBtr0071218	OG0009842	CG12081-RA	CG12081
FBtr0071219	OG0009844	CG12737-RA	Crag
FBtr0071221	OG0009847	CG12772-RA	Rubicon
FBtr0071223	OG0009849	CG1795-RA	Ogg1
FBtr0071224	OG0009850	CG11294-RA	CG11294
FBtr0071225	OG0009848	CG12108-RA	Ppt1
FBtr0071228	OG0009845	CG12109-RB	Caf1-180
FBtr0071230	OG0009841	CG2056-RB	spirit
FBtr0071232	OG0009840	CG12111-RA	CG12111
FBtr0071233	OG0009838	CG12112-RA	CG12112
FBtr0071234	OG0009837	CG12113-RA	IntS4
FBtr0071235	OG0009835	CG11219-RA	PIP82
FBtr0071237	OG0009833	CG12743-RB	otu
FBtr0071240	OG0009828	CG12116-RA	CG12116
FBtr0071241	OG0009827	CG12117-RA	Sptr
FBtr0071244	OG0009824	CG11202-RA	org-1
FBtr0071245	OG0009823	CG12123-RA	CG12123
FBtr0071246	OG0009821	CG12125-RA	Miga
FBtr0071249	OG0009851	CG1787-RA	Hexo2
FBtr0071250	OG0009853	CG1785-RA	Nop53
FBtr0071251	OG0009855	CG1789-RA	CG1789
FBtr0071253	OG0009857	CG12075-RA	CG12075
FBtr0071255	OG0009860	CG10648-RA	Rbm13
