OG_ID	gene_ID
OG0001906	CG34179
OG0001907	IPIP
OG0001908	CG9135
OG0001909	CG13995
OG0001910	CG13994
OG0001911	Fbw5
OG0001914	Pfdn1
OG0001916	Kr-h2
OG0001917	Kr-h1
OG0001919	CG31642
OG0001920	stai
OG0001922	WDR79
OG0001923	tctn
OG0001925	CG13989
OG0001926	AANATL2
OG0001931	HemK1
OG0001932	mmy
OG0001935	Daxx
OG0001936	Kfase
OG0001939	CG31638
OG0001941	CG9550
OG0001943	eya
OG0001949	CG13766
OG0001950	Dpp10
OG0001951	CG11050
OG0001953	CG34345
OG0001954	Oatp26F
OG0001955	CG31635
OG0001956	Tango1
OG0001957	Ube4A
OG0001958	CG13771
OG0001959	cup
OG0001960	Galt
OG0001962	PIGBOS1
OG0001964	Nhe3
OG0001966	AkhR
OG0001967	Aatf
OG0001969	Liprin-alpha
OG0001970	TTLL3B
OG0001971	TTLL3A
OG0001973	CG44271
OG0001975	CG17378
OG0001978	Daao2
OG0001981	Rca1
OG0001982	Heatr1
OG0001984	Nlg2
OG0001986	Rat1
OG0001987	Wee1
OG0001993	ihog
OG0001996	CG13775
OG0001997	CG3430
OG0001998	Atac1
OG0002000	sip2
OG0002001	Coprox
OG0002005	CG43322
OG0002006	Gart
OG0002008	CG31908
OG0002009	milt
OG0002011	Obp28a
OG0002012	RapGAP1
OG0002013	Spn28B
OG0002014	CG6739
OG0002016	Tep3
OG0002017	Ntl
OG0002020	CG7231
OG0002021	pes
OG0002022	CG7227
OG0002025	Spn28Dc
OG0002026	Tg
OG0002029	CCDC53
OG0002036	Bsg
OG0002037	mon2
OG0002038	CG12375
OG0002039	PAPLA1
OG0002040	CG43394
OG0002041	Rbsn-5
OG0002046	CG8419
OG0002047	Su(var)205
OG0002048	CG8372
OG0002050	CG8353
OG0002051	CG8349
OG0002052	CG8292
OG0002054	Pvr
OG0002055	CG14277
OG0002056	CG43057
OG0002063	CG7810
OG0002064	CG7806
OG0002065	mtsh
OG0002070	CG14273
OG0002071	CG7778
OG0002072	Mur29B
OG0002074	CSN8
OG0002078	CG13390
OG0002081	Tmem126
OG0002082	Rcd4
OG0002085	CG42820
OG0002086	Peritrophin-15b
OG0002087	Peritrophin-15a
OG0002090	Naglu
OG0002091	Akap200
OG0002093	Yeats2
OG0002094	Chrac-14
OG0002095	mus201
OG0002097	CG13401
OG0002099	prg
OG0002100	CG13088
OG0002101	CG43400
OG0002103	Bace
OG0002104	CG13096
OG0002108	Mocs3
OG0002111	Sema1a
OG0002112	Glt
OG0002113	CG9287
OG0002114	CG9289
OG0002117	Hnf4
OG0002118	raw
OG0002119	CG12438
OG0002120	SoxN
OG0002121	CG32986
OG0002122	CG32987
OG0002123	CG32988
OG0002125	Tsp29Fa
OG0002126	Tsp29Fb
OG0002129	rost
OG0002131	CG18661
OG0002132	Try29F
OG0002134	CG9582
OG0002135	CG31609
OG0002136	Or30a
OG0002137	CG32982
OG0002139	CG9586
OG0002142	Mco1
OG0002143	Fbp2
OG0002144	FutB
OG0002145	scat
OG0002146	CG3769
OG0002150	Oatp30B
OG0002153	CG13114
OG0002155	brwl
OG0002156	Mtpalpha
OG0002157	gcm
OG0002158	CG3841
OG0002160	gcm2
OG0002162	GlcAT-S
OG0002166	CG4364
OG0002167	Nckx30C
OG0002173	ppk18
OG0002175	CG17633
OG0002176	ppk16
OG0002178	CG13123
OG0002179	Fkbp59
OG0002187	Acaa
OG0002189	CG4592
OG0002190	CG42366
OG0002194	CG4619
OG0002196	CG13126
OG0002197	CG4709
OG0002198	CG5846
OG0002199	CG4658
OG0002200	CG5850
OG0002201	Dref
OG0002203	bib
OG0002204	CG31875
OG0002205	SoYb
OG0002206	Ndf
OG0002207	Trp1
OG0002208	CG13131
OG0002210	Cpr31A
OG0002211	Spn31A
OG0002216	RpL7
OG0002220	ath
OG0002221	Npc1a
OG0002222	Prosalpha6
OG0002225	eEF1delta
OG0002229	Pten
OG0002231	Mulk
OG0002232	trk
OG0002237	CG5381
OG0002238	CG4995
OG0002239	RnrL
OG0002241	CG34367
OG0002243	Cand1
OG0002245	Oser1
OG0002246	rho-5
OG0002247	Ost1
OG0002249	CG5096
OG0002251	mRpS7
OG0002254	Cnot4
OG0002257	Klp31E
OG0002258	pie
OG0002261	CG5188
OG0002264	TBC1D16
OG0002265	holn1
OG0002266	loh
OG0002268	CG6144
OG0002269	CG13144
OG0002270	Myo31DF
OG0002271	CG6094
OG0002272	CG7384
OG0002273	Lrr47
OG0002277	CG7329
OG0002278	dbf
OG0002279	CG31871
OG0002280	CG17104
OG0002281	CG7300
OG0002282	Lip1
OG0002283	Lip2
OG0002285	CG6431
OG0002286	CG6443
OG0002289	Dpy-30L1
OG0002290	Nup107
OG0002292	CG12299
OG0002293	CG6729
OG0002298	CG31869
OG0002300	Nos
OG0002302	Porin2
OG0002309	CG14071
OG0002310	CG14070
OG0002311	CG7309
OG0002313	dpr2
OG0002314	CG14072
OG0002315	Tmem214
OG0002316	YL-1
OG0002317	CG16743
OG0002318	ao
OG0002321	Nup154
OG0002325	Acp32CD
OG0002326	CG14913
OG0002330	Ge-1
OG0002331	Reps
OG0002332	l(2)gd1
OG0002333	Idua
OG0002334	Gr32a
OG0002335	CG6230
OG0002336	Dnaaf4
OG0002337	Nup160
OG0002339	CG4751
OG0002341	Gyc32E
OG0002344	Vm32E
OG0002345	Boh2
OG0002348	Ppt2
OG0002349	mre11
OG0002350	Osi21
OG0002351	CG14926
OG0002352	salm
OG0002354	spz4
OG0002356	Taf9L
OG0002357	spag4
OG0002359	CG6614
OG0002360	CG12307
OG0002361	CG4983
OG0002362	Tsp33B
OG0002370	Wdr81
OG0002371	CG6766
OG0002373	Plzf
OG0002374	PLCXD
OG0002375	RpL7-like
OG0002376	Rab3-GAP
OG0002378	CG14947
OG0002380	Pex19
OG0002381	CG6712
OG0002382	Ced-12
OG0002384	ThrRS
OG0002386	CG17211
OG0002387	rho-6
OG0002388	Gr33a
OG0002390	CG31862
OG0002391	bru2
OG0002392	CG17010
OG0002393	Pkd2
OG0002399	Oatp33Ea
OG0002400	CG5421
OG0002401	Oatp33Eb
OG0002402	t-cup
OG0002404	MRP
OG0002406	kek1
OG0002407	CG9928
OG0002409	CG31848
OG0002411	Drep4
OG0002412	Uvrag
OG0002413	CG31729
OG0002414	hbt
OG0002415	CG43779
OG0002416	CG16825
OG0002417	CG16826
OG0002418	CG9395
OG0002419	CG9377
OG0002420	Nnp-1
OG0002421	Grx3
OG0002422	Tap42
OG0002424	ND-B22
OG0002425	Bdp1
OG0002428	beta'COP
OG0002430	CG7099
OG0002431	CG16957
OG0002433	Flad2
OG0002435	Tehao
OG0002436	Hacd2
OG0002437	CG42809
OG0002438	CG42810
OG0002439	B4
OG0002440	Sos
OG0002441	Adc
OG0002442	PolG1
OG0002444	Orc5
OG0002445	PolG2
OG0002446	GatC
OG0002448	mRpS23
OG0002449	CenG1A
OG0002450	CG33307
OG0002451	CG33306
OG0002452	CG8997
OG0002453	CG7916
OG0002454	CG7953
OG0002456	Ance-2
OG0002461	Vajk3
OG0002462	NimA
OG0002463	NimB1
OG0002465	NimB4
OG0002466	rk
OG0002467	NimC3
OG0002468	CG18095
OG0002469	NimC4
OG0002470	CG46301
OG0002471	Dsff1
OG0002472	CG31769
OG0002476	ms(2)34Fe
OG0002477	CG33090
OG0002479	mTTF
OG0002480	CG43052
OG0002481	l(2)34Fd
OG0002483	Pgant35A
OG0002484	spel1
OG0002485	ppk
OG0002489	CG15283
OG0002491	CG4218
OG0002492	osp
OG0002496	CG4691
OG0002498	side-II
OG0002503	Thg
OG0002504	Rnmt
OG0002506	yellow-c
OG0002509	CG33679
OG0002511	vig
OG0002512	wwk
OG0002513	CG15269
OG0002514	stc
OG0002516	ZnT35C
OG0002519	Uxt
OG0002520	yuri
OG0002521	Cul3
OG0002523	CG15263
OG0002524	CG15260
OG0002527	nht
OG0002528	esg
OG0002529	CG15258
OG0002530	wor
OG0002531	CG4161
OG0002533	lace
OG0002535	kek3
OG0002537	Semp1
OG0002538	CG18480
OG0002540	CycE
OG0002546	Ku80
OG0002548	CG13243
OG0002550	CG7653
OG0002552	CG31823
OG0002553	CG31821
OG0002554	beat-Ib
OG0002555	CG12448
OG0002559	BicC
OG0002560	beat-Ia
OG0002562	Ca-Ma2d
OG0002564	EndoGI
OG0002565	twe
OG0002567	pkaap
OG0002569	Cyp303a1
OG0002574	Syx5
OG0002578	CG4278
OG0002579	mRpL4
OG0002580	CG42266
OG0002582	her
OG0002583	squ
OG0002589	Tsen2
OG0002591	Prosbeta4
OG0002592	glu
OG0002593	ChLD3
OG0002595	BuGZ
OG0002597	ppk17
OG0002598	CG13280
OG0002599	CG13272
OG0002601	Cse1
OG0002602	AspRS-m
OG0002603	CG13282
OG0002608	CG42556
OG0002609	CG31805
OG0002610	ApepP
OG0002611	CG6304
OG0002612	CG15136
OG0002613	CG12620
OG0002615	CG6380
OG0002616	Lrch
OG0002617	CLIP-190
OG0002619	CG15141
OG0002622	CG5043
OG0002623	dl
OG0002624	CG5050
OG0002625	BicD
OG0002626	Sgt
OG0002627	cass
OG0002628	fws
OG0002630	Gcs2beta
OG0002631	CG5131
OG0002632	qua
OG0002633	CG15142
OG0002634	mEFTs
OG0002635	CG7094
OG0002638	Sytalpha
OG0002639	CG15147
OG0002642	rdo
OG0002644	CG15153
OG0002647	kel
OG0002649	CG17681
OG0002650	CG15155
OG0002651	CG5783
OG0002652	JMJD4
OG0002654	CG31787
OG0002655	CG5790
OG0002658	bsf
OG0002659	CG10283
OG0002660	grnd
OG0002661	kon
OG0002663	Pde11
OG0002667	CG31789
OG0002668	CG10333
OG0002669	Atac2
OG0002670	IFT46
OG0002672	CG43338
OG0002673	Hykk
OG0002674	tos
OG0002675	CG10336
OG0002677	CG10338
OG0002679	CG10376
OG0002682	Faf2
OG0002683	Grip71
OG0002684	Irk3
OG0002685	CG10348
OG0002690	CG10600
OG0002691	CG33120
OG0002693	CG10602
OG0002696	ssp3
OG0002699	Nak
OG0002700	Tango6
OG0002701	L2HGDH
OG0002702	CG10431
OG0002705	CG15170
OG0002706	CG15169
OG0002707	CG10650
OG0002711	Sidpn
OG0002713	mib2
OG0002714	Catsup
OG0002715	Ttc19
OG0002716	Acn
OG0002718	l(2)37Bb
OG0002720	CG10492
OG0002721	Phlpp
OG0002722	Dus4
OG0002724	CG10702
OG0002725	CG17572
OG0002729	AsnRS
OG0002730	DCTN6-p27
OG0002731	Polr1D
OG0002735	CG13086
OG0002738	CG17549
OG0002739	CG17544
OG0002740	CG31798
OG0002742	Lectin-galC1
OG0002743	Alp12
OG0002744	CG13085
OG0002747	RanGAP
OG0002748	Top2
OG0002749	mcw
OG0002750	CG10195
OG0002751	CG10194
OG0002752	CG18094
OG0002753	Ctu2
OG0002754	swm
OG0002755	Top3alpha
OG0002756	cyst
OG0002757	CG10132
OG0002758	Dpm1
OG0002759	Cep104
OG0002760	CG10165
OG0002761	CG33116
OG0002762	CG13082
OG0002763	ref(2)P
OG0002764	CG10337
OG0002765	Fire-like
OG0002767	msb1l
OG0002768	Pmvk
OG0002769	Hakai
OG0002770	CG10366
OG0002772	scw
OG0002773	CG10462
OG0002776	CG10628
OG0002777	Dus3
OG0002779	bsh
OG0002780	CdGAPr
OG0002782	fs(2)ltoPP43
OG0002783	CG13962
OG0002786	CG34051
OG0002788	CG16772
OG0002789	CG10680
OG0002790	Hf
OG0002791	CG43861
OG0002794	barr
OG0002797	neb
OG0002799	CG10747
OG0002800	Pyroxd1
OG0002802	nesd
OG0002803	mRpS18B
OG0002805	CG10651
OG0002806	CG17571
OG0002809	spir
OG0002810	La
OG0002811	RtGEF
OG0002812	CG16798
OG0002814	CG10949
OG0002817	CG2493
OG0002818	CG15475
OG0002820	phr6-4
OG0002822	brun
OG0002823	CG2614
OG0002824	CG31678
OG0002827	CG2617
OG0002828	Hr38
OG0002829	CG9316
OG0002833	Amacr
OG0002834	Ns4
OG0002835	Rhau
OG0002837	cad
OG0002841	CG33322
OG0002843	Oseg5
OG0002846	twit
OG0002851	Mtp
OG0002853	Nthl1
OG0002854	Itgbn
OG0002855	CG9265
OG0002856	tadr
OG0002857	CG9259
OG0002860	CG9257
OG0002861	Nhe2
OG0002862	Dap160
OG0002863	pths
OG0002865	E2f2
OG0002867	Coq3
OG0002869	Noc2
OG0002871	Mcm10
OG0002872	Ret
OG0002873	clumsy
OG0002874	Atg18b
OG0002876	Hr39
OG0002877	l(2)k14505
OG0002878	bbo
OG0002879	Mondo
OG0002880	crc
OG0002883	Aldh1L1
OG0002887	Ac3
OG0002888	Cul2
OG0002889	CG2225
OG0002891	CG11630
OG0002892	tsh
OG0002893	CG11629
OG0002894	CG31693
OG0002895	tio
OG0002896	ttm3
OG0002902	lt
OG0002903	Spf45
OG0002909	Ugt50B3
OG0002912	CG1344
OG0002914	CG8245
OG0002915	scaf
OG0002917	l(2)09851
OG0002918	Mipep
OG0002919	Gp210
OG0002920	Or42a
OG0002921	Tsp42A
OG0002923	CG43366
OG0002924	BubR1
OG0002925	mle
OG0002926	Src42A
OG0002927	Pngl
OG0002928	Strica
OG0002929	SCAP
OG0002930	CG14591
OG0002931	Tbce
OG0002932	CCHa2-R
OG0002933	l(2)k09848
OG0002934	CG7849
OG0002935	SmydA-5
OG0002936	Ars2
OG0002938	CG14589
OG0002939	Cyp6w1
OG0002942	CG30432
OG0002943	CG17994
OG0002944	Ttc7
OG0002945	bin3
OG0002946	Pld
OG0002947	jing
OG0002948	Trap1
OG0002949	Bap170
OG0002950	Fmo2
OG0002952	Opbp
OG0002953	geminin
OG0002954	sced
OG0002956	Adf1
OG0002957	Hsepi
OG0002958	PGAP3
OG0002961	CG15909
OG0002963	CG3270
OG0002966	chk
OG0002967	CG45092
OG0002969	Mccc2
OG0002970	Eb1
OG0002976	CG15236
OG0002980	CG9447
OG0002981	Spn42Da
OG0002982	Spn42Dc
OG0002983	Spn42Dd
OG0002985	CG3358
OG0002986	ppk25
OG0002987	Cyp6u1
OG0002988	Ufsp1
OG0002990	CG30156
OG0002991	CG17002
OG0002994	Tsp42Ec
OG0002996	Tsp42Ee
OG0002999	Tsp42Eh
OG0003000	Tsp42Ei
OG0003003	Tsp42El
OG0003006	Tsp42Eq
OG0003009	CG12831
OG0003010	esn
OG0003011	Spn43Aa
OG0003012	CG12828
OG0003013	Spn43Ab
OG0003014	Spn43Ad
OG0003015	nec
OG0003016	CG11060
OG0003017	CG33140
OG0003018	CG30384
OG0003019	pk
OG0003020	Or43a
OG0003024	Br140
OG0003025	Incenp
OG0003026	pwn
OG0003028	cos
OG0003029	Dhx15
OG0003032	CG43123
OG0003034	CG11145
OG0003035	CG11123
OG0003037	CG30503
OG0003039	Fa2h
OG0003040	CG11125
OG0003041	Inos
OG0003042	CG11141
OG0003043	CG11127
OG0003044	p47
OG0003045	Aldh-III
OG0003046	wech
OG0003048	CG1620
OG0003050	didum
OG0003053	CG1602
OG0003055	Orc1
OG0003056	Drat
OG0003060	Corin
OG0003063	blow
OG0003064	CG1360
OG0003065	scra
OG0003066	HisT
OG0003068	CG43341
OG0003071	Grl43a
OG0003074	mRpL52
OG0003077	LRR
OG0003079	CG30496
OG0003080	tor
OG0003082	cn
OG0003083	PolZ1
OG0003084	Nop17l
OG0003085	sax
OG0003086	TTLL12
OG0003089	TrmO
OG0003090	Atg10
OG0003092	CG12159
OG0003094	Or43b
OG0003095	rnh1
OG0003096	drosha
OG0003099	CG14764
OG0003103	CG8726
OG0003107	Dic3
OG0003108	Hey
OG0003109	CG11191
OG0003110	CG14762
OG0003111	CG12769
OG0003112	lig
OG0003115	sut3
OG0003116	Tmem63
OG0003117	Cul4
OG0003118	Asap
OG0003119	Nup50
OG0003120	coil
OG0003121	Socs44A
OG0003122	Pbp49
OG0003126	Lpin
OG0003127	kermit
OG0003131	Gasz
OG0003132	Mlh1
OG0003135	CG14756
OG0003138	CG14760
OG0003139	CG14759
OG0003142	CG30376
OG0003143	pdm3
OG0003144	CG11635
OG0003145	spaw
OG0003146	hubl
OG0003147	whip
OG0003148	swif
OG0003149	boly
OG0003150	CG2127
OG0003151	CG8701
OG0003152	CG2121
OG0003154	Cyp4ad1
OG0003155	Mal-A2
OG0003156	mtt
OG0003157	CG42326
OG0003159	Lnpk
OG0003160	rgr
OG0003161	Cirl
OG0003162	Vps25
OG0003163	beta3GalTII
OG0003164	Gle1
OG0003168	Jon44E
OG0003169	CG8738
OG0003170	CG8584
OG0003171	CG14743
OG0003172	PGRP-SC2
OG0003177	blo
OG0003178	CG8746
OG0003179	CG30350
OG0003181	CG8272
OG0003182	Sec31
OG0003183	ana2
OG0003185	MrgBP
OG0003187	CCT8
OG0003188	CG30349
OG0003189	CG8252
OG0003191	lin
OG0003192	CG8243
OG0003193	CG8237
OG0003195	PAN2
OG0003196	FANCI
OG0003200	babo
OG0003201	spab
OG0003202	flz
OG0003203	Np
OG0003205	CG13744
OG0003206	CG13747
OG0003207	CG8170
OG0003210	CG8197
OG0003211	ana
OG0003212	Nadk2
OG0003215	CG8777
OG0003216	Vang
OG0003218	Mys45A
OG0003219	Phax
OG0003220	Su(var)2-10
OG0003221	GstE13
OG0003222	CG18659
OG0003223	Hydr1
OG0003224	alc
OG0003227	Prp38
OG0003228	Rad51D
OG0003230	Rab32
OG0003231	CG8026
OG0003233	Gnptab
OG0003234	VhaAC45
OG0003236	Pkn
OG0003237	CG2063
OG0003239	Mad1
OG0003242	CG13954
OG0003244	Or45a
OG0003246	Non1
OG0003247	l(2)k10201
OG0003248	wun
OG0003249	wun2
OG0003250	CG13955
OG0003253	ced-6
OG0003255	CG1888
OG0003259	Smyd4-1
OG0003262	clos
OG0003263	CG30338
OG0003264	CG30340
OG0003265	CG30339
OG0003266	CG1902
OG0003267	Mmp2
OG0003269	CG1688
OG0003271	lectin-46Cb
OG0003272	lectin-46Ca
OG0003273	CG34033
OG0003274	CG30001
OG0003275	dila
OG0003276	hebe
OG0003277	CG1663
OG0003278	Lsm11
OG0003279	Marc
OG0003281	Sting
OG0003283	CG1671
OG0003286	peo
OG0003287	Ntmt
OG0003288	Lime
OG0003289	CG12744
OG0003291	CG1513
OG0003292	CG30008
OG0003293	tea
OG0003294	CG1441
OG0003295	FMRFa
OG0003296	Etf-QO
OG0003297	Mef2
OG0003299	Pal1
OG0003301	CG12134
OG0003302	eve
OG0003305	ptch
OG0003306	CG1407
OG0003307	CG12129
OG0003308	oys
OG0003310	Def
OG0003311	magu
OG0003312	PIG-N
OG0003315	CG12920
OG0003316	CG1371
OG0003317	egr
OG0003318	sut4
OG0003319	CG2269
OG0003320	Jra
OG0003324	dmpd
OG0003325	Ccs
OG0003326	gem
OG0003327	CG12917
OG0003328	Or46a
OG0003329	CG18011
OG0003331	mlt
OG0003333	Hr3
OG0003335	CG12209
OG0003339	CG12911
OG0003341	RNaseZ
OG0003342	CG12909
OG0003344	Ndg
OG0003346	Gr47a
OG0003347	Ir47a
OG0003351	Cyp49a1
OG0003352	Caf1-105
OG0003353	whd
OG0003356	psq
OG0003359	Elp2
OG0003363	CAH13
OG0003364	Daao1
OG0003372	dgo
OG0003373	Prosbeta5
OG0003376	CG12325
OG0003379	CG30015
OG0003380	nclb
OG0003382	Pex6
OG0003383	CG18004
OG0003384	cag
OG0003385	dumpless1
OG0003388	polyph
OG0003389	Obp47a
OG0003390	Spn47C
OG0003391	luna
OG0003393	CG13229
OG0003395	CG12391
OG0003397	CG9084
OG0003408	Or47a
OG0003410	Cpr47Eb
OG0003411	CG13223
OG0003412	Cpr47Ec
OG0003416	Uaf1
OG0003418	Fbl6
OG0003420	dare
OG0003422	CG7741
OG0003423	nompA
OG0003424	Or47b
OG0003425	sha
OG0003426	lambdaTry
OG0003427	kappaTry
OG0003428	etaTry
OG0003429	thetaTry
OG0003434	Gr47b
OG0003435	CG13204
OG0003439	Sod3
OG0003440	sprt
OG0003441	Smyd4-3
OG0003444	E(Pc)
OG0003448	Egm
OG0003449	atos
OG0003452	CG13198
OG0003456	CG13197
OG0003457	CG13193
OG0003460	CG13192
OG0003461	Sobp
OG0003463	S2P
OG0003465	Sln
OG0003471	cuff
OG0003473	MCPH1
OG0003476	exp
OG0003477	PI31
OG0003479	rho-7
OG0003480	CG8298
OG0003481	otk
OG0003482	otk2
OG0003485	CG8321
OG0003489	CG30039
OG0003491	Drep3
OG0003493	CG13186
OG0003494	jeb
OG0003495	CG18343
OG0003496	SkpB
OG0003498	
OG0003499	Hen1
OG0003500	bsd
OG0003504	CG34232
OG0003507	EndoG
OG0003508	wash
OG0003510	Cyp6g1
OG0003511	Cyp6g2
OG0003512	Cyp6t3
OG0003513	CG8858
OG0003521	Vha36-2
OG0003525	Drosp
OG0003526	CG30046
OG0003528	garz
OG0003530	CG8839
OG0003533	CG13155
OG0003535	Or49a
OG0003537	Cpr49Af
OG0003540	CG13157
OG0003543	CG13154
OG0003544	Nup54
OG0003545	DUBAI
OG0003546	Tmem18
OG0003547	Dyb
OG0003549	dgt5
OG0003551	Nepl10
OG0003552	CG34234
OG0003553	fdl
OG0003554	s-cup
OG0003555	CG13151
OG0003556	CG8818
OG0003557	CG8569
OG0003558	fra
OG0003559	Cyp301a1
OG0003560	Ak6
OG0003561	stil
OG0003562	ClC-b
OG0003563	Sin3A
OG0003567	Mvk
OG0003570	CG8785
OG0003571	CG8778
OG0003572	ZnT49B
OG0003575	Nup188
OG0003578	wuc
OG0003581	Taz
OG0003582	mRpL18
OG0003585	CG12374
OG0003586	sca
OG0003591	CG17574
OG0003592	Balat
OG0003593	AspRS
OG0003595	NAT1
OG0003597	sug
OG0003598	CG17019
OG0003599	SCCRO3
OG0003600	CG30487
